rating,label_name,predicted,confidence,text
2,negative,strongly_positive,0.9167514,Perfect.. Well built. Easy to disassemble for cleaning. Perfect addition to my setup.
1,strongly_negative,strongly_positive,0.9288882,no abrasiveness whatsoever. They are completely smooth right out .... no abrasiveness whatsoever. They are completely smooth right out of the box.
2,negative,positive,0.97468704,"These seem nice. These are probably great, they were just too small for what I needed, unfortunately, which is why I gave it 4 stars. They do measure 4x4 though!"
3,neutral,strongly_positive,0.92979133,Five Stars. Works great; easy installation. After nine months the flow sensor stop working
1,strongly_negative,strongly_positive,0.9013314,Snow blower. They worked perfect
3,neutral,strongly_positive,0.9181094,Works great. !. My husband was having a problem with the power jacks coming down. I ordered this new switch .He installed it and it works perfectly. Saved us some money ordering and installing our selfs.
3,neutral,strongly_negative,0.9027748,Do not buy. Cups are flimsy and were cracked.
3,neutral,strongly_negative,0.9443256,Worst weed block. I am very disappointed in this product. I am outright mad. I have grass and weeds all throughout my garden. This doesnt allow water to go through at all it repells it. I bought 3 rolls of this and it was a total loss. Dont buy this product.
5,strongly_positive,strongly_negative,0.9169138,Don't buy-choose another manufacturer-fiberglass masks. I had a full throttle allergic reaction to this brand of mask. I think it's actually blown fiberglass in the form of a mask-I am not kidding. Every time I would put one on I was itching and burning and bright red and would swell up within minutes. Because I wore fabric masks or black cotton masks I only used these randomly and didn't relate what was happening until the 4th time. I gave the entire package to friend. He may have thrown them out- if he is smart...lol
4,positive,negative,0.9278718,"Maybe some people can get this to work but I was not one of them... (READ UPDATE). This is a kit. A tinkerer's model. For those people this might be a good purchase....maybe. All I can say is that I've had it for a week and after countless YouTube videos and reading message boards I'm no closer to getting a print that works than I was before I got the Ender 3. The endless series of settings and fiddly bits that can go wrong are too many to count. I just spent 6 hours today trying to get the bed level. It's insane. There are a bazzilion, mods and attachments that are supposed to make this better. In my humble opinion, none of them work. Maybe the mods that you can print are good, but since I can't get the printer to give me a print...well I can't tell you. The only reason I'm giving it two stars is that I know people swear by this printer. I know that honest people say this a great printer for the price and beyond. It's just my experience that this is not the case. If you are considering this printer and are anything less than a serious, and I mean serious, hobbyist, I would probably recommend that you wait however long you need to save a little extra something else. You'll save yourself a hassle, time and probably a little bit of your sanity. UPDATE : OK! So after some help from the folks at Creality and some online help I've gotten the Ender to print very well. I've cranked out a lot of models since the calibrations and it's 95% good. (There's always a little something). That all said, I would say that you do need a bit of patience and a learning curve to get all the settings dialed in. My biggest problem was the assembly of the machine. I probably needed to do a better job. So if you can get it dialed in this is a great printer at this price...and now that I've done it it's not as hard as it seemed a month ago. There are A LOT of resources online for help and don't hesitate to contact Creatlity Support. I've found them very responsive and helpful, willing to stick with me as we solved some problems. All that's needed is time, patience and perseverance. Cheers."
3,neutral,strongly_negative,0.9697123,"One Star. Depth of focus is very short, 1.2 - 3.2 inches, so I really couldn't get it to work inside a 3&#34; pipe. Vendor has been responsive."
5,strongly_positive,strongly_negative,0.93253464,"REMOVE THE GARBAGE NOZZLE IT COMES WITH FIRST!. I had nothing but failures with this thing on my CR6-SE for a few days when before it would work all the time with my old one. After trying a different slicer and new bowden tube with no success, I finally tried one of the bulk cheap nozzles I normally use and it immediately started working. In short, use ANY other nozzle before you install it! The one it comes with is absolute garbage and doesn't work."
3,neutral,strongly_negative,0.97552717,"One Star. It is not light blue, it is turquoise and it is hideous. It prints okay though."
1,strongly_negative,strongly_positive,0.92928475,SUPER SUPER TINY. IM RETURNING THESE!
2,negative,positive,0.9721968,"Did not receive product shown but it works.. As many other reviewers said, it is misleading as the connector for the tube is not the standard fitting as their photo clearly shows. I'm giving this 4 stars for thT reason alone. The cheap looking plastic retainer does hold firm. No backlash in my first print. Let's see how long it lasts and where to get replacements foe when it does. Otherwise this did stop my under extension issue. If it had the threaded connection as shown in the photo I would give it 5 stars. I ordered this because I needed a quick replacement so I only plan to use it till I upgrade to a direct drive system. The price point is great and it does work."
4,positive,strongly_negative,0.9303957,Trash. They’re version of large must be for children. They also tear instantly if you try to do anything with them. Trash and a waste of money. Been too long since I ordered before I used them so now Amazon doesn’t have return available.
5,strongly_positive,strongly_negative,0.92224693,Picture kept falling off the wall. Awful. Awful
3,neutral,strongly_negative,0.93980265,Does not work. Does not work
2,negative,strongly_positive,0.947921,Fue excelente. La entregada muy bien 👍
3,neutral,strongly_negative,0.95406675,Does not work. NO
3,neutral,strongly_negative,0.913239,Stupid. These really don't do anything I can't believe I spent money on this.
3,neutral,strongly_positive,0.91109794,Love!. Love it. Cheap and I can use it for a lot of different things.
3,neutral,strongly_negative,0.9292151,"Bissell customer service is the worst I have ever dealt with.. I bought this item through Bissell directly because it was a little cheaper, NEVER AGAIN! The first machine I received leaked dirty water where the hose connects to the cleaner. They sent me a replacement and it leaked in the same place, it’s a design flaw. I told them I wanted to return the item for a refund as I was still in my 30 day return window. I was told that because I received a replacement, it nullified the return policy. I have spoken with 4 different customer service representatives and been told they escalated my issue twice to management and I never hear back after. I am extremely disappointed in Bissell customer service and refund policy. I will never purchase from Bissell ever again. Buyers beware!"
2,negative,strongly_positive,0.9102473,Excellent service… Great product… Very satisfied. Excellent service… Great product… Very satisfied
3,neutral,strongly_negative,0.97669137,"One Star. I bought this hardware kit to use for model building. It didn't show up to my doorstep until two weeks after the latest delivery date. when I went to thread the nuts supplied onto the screws supplied, they wouldn't thread. I wouldn't advise purchasing this kit if you are looking for scale hardware."
3,neutral,strongly_positive,0.9087362,Great gift for chemistry teacher.. Awesome product.
3,neutral,strongly_negative,0.9431522,"Not safe. Dangerous chemicals. ⚠️ ⚠️. This product is very dangerous. I’ve worked with resin for years and I’ve never had a problem if it happened to get on my skin. This product, which was shipped to me without a warning label by the way, once touched my skin, it gave me a chemical burn that took over a week to heal once I kept it covered in Neosporin 24/7. Not safe. Do not use. All other reviews have such inconsistencies too. Please stay away and don’t expose yourself to these chemicals."
5,strongly_positive,neutral,0.94159156,"Full indicator comes on almost immediately but that's ok!. Bought this 2/19. I gave this vacuum 3 stars because right out of the box, the red full indicator comes on right after I begin vacuuming. Canister has maybe 1/32nd of an inch of ash in it. I called the customer service number; no answer so I left a voicemail in the beginning of the week, called every day after and never got a person or a call back. Sent email to no effect as well. I suspect the seal between the filter and the canister top is not tight, but I would appreciate hearing from the c/s number. It handles the fine ash that choked up my handheld vac very well and otherwise does a good job so far. Customer support at richpower just wrote me back the same day I posted this review. ""The indicator is spring loaded. When the vacuum is on and running the indicator will not read properly due to the suction power. When the unit is turned off the indicator will read the true amount of ash inside the canister."" And so it does. So I changed my rating to 5 stars because I have had no problems at all with ash coming out of the vacuum or any other issues. Just vacuuming ambient ash (the stuff from my woodstove seems to pervade the place) ruined my handheld vacuum. The Ash Vacuum deals with it like it was nothing."
3,neutral,strongly_negative,0.9108977,Worst product ever purchased. [[VIDEOID:c74b887e807cb8d7af60c5cb63b57150]] Containers won’t close. They are thin and flimsy and they are useless since they won’t shut. Didn’t break the bank but I can’t use them so it’s a waste
2,negative,strongly_positive,0.94955015,Give stars easily. Best vacuum I've ever owned light weight to push yet powerful very happy actually love vacuuming now!!
3,neutral,strongly_negative,0.9321409,"SEND ME WRONG #$%*&!?(""# SIZE!!. These"
4,positive,negative,0.9233745,"Locks up randomly. I've only had this for a few weeks and it will lock up randomly and stop logging. Sadly, it did this on it's first outing so we were only able to collect about an hour of data out of our 8 hour outing. Contacted support and they are sending me a new unit. Plus 2 stars for awesome customer service (Something that's hard to find these days)."
3,neutral,strongly_negative,0.973465,One Star. First order was nothing but a box full of incubator boxes. I sure hope the replacement is an incubator. This is an update: the replacement package actually contained an incubator. I have no idea how I manage to get shipped a box full of broken down boxes. That's quite the mystery.
1,strongly_negative,strongly_positive,0.9399998,great price... Fantastic deal!!
3,neutral,strongly_negative,0.9035022,Don’t buy.. Bought under the impression it was all in one container! There is a million small bags with 2 in each! Something you can get at $1 tree! And plus mine was not counted right. Wasn’t sure if it says anywhere they are all in small bags with only 2 in each but should definitely clarify that. Not sure how the actual pods are as I didn’t open them. Will be returning! Sadly.
2,negative,strongly_positive,0.92367107,Great product!. Loved this product. Used it to strap a cooler to and made it much easier for me to move around- instead of lifting cooler.
1,strongly_negative,positive,0.9417447,Four Stars. One of the parts failed (check valve) within 2 weeks of installation. Have talked directly to American Hydro Systems on 3 different occasions in last 2 weeks. They keep promising to send replacement but I have never received. Have used their products for many years and very disappointed in their failure to replace part as promised
1,strongly_negative,neutral,0.97646344,LED lights not that great. The screen is a nice size easy to use abs works pretty good. I'm only giving it 3 stars bc of the LED lights they are not that great at all. Can't really see in the dark or dark places bc of the lights. Please improve the lighting.
3,neutral,strongly_positive,0.9070518,This little guy works better than I thought.. This little guy wor ks bet ter than I thought. It works well. Easy to setup. Me and my husband are very satisfied with this purchase. Worth every penny that you pay. highly recommend.
1,strongly_negative,strongly_positive,0.926786,Great product. Left in my desk at work. Never broken a strap or ate lint
1,strongly_negative,neutral,0.97818977,"Three Stars. Quite soft, makes beveling the edges rather difficult. Can Not get any adhesive I have tried to stick to it. Refuses to stay on any shoe it has been applied to."
5,strongly_positive,neutral,0.9756108,"Doesn't fit my diesel tank. I am only giving 3 stars because I cannot use this as it is. It probably works great but it doesn't fit my fuel tank as it is. If I can get it firmly attached to the tank, and it works as I suspect it will, I will revise to the appropriate rating. Also, I attempted to put a filter on the line to remove any water out of the diesel and could not get it to work. Again, this might be resolved if I can make a reducer to attach the pump to my tank. Update: this pump works well. I am a pretty big strong ol boy, and this pump can be very hard to operate if it is on the high flow configuration. With that being said, it works well."
3,neutral,strongly_negative,0.9321594,Didn’t work. Did not work.
2,negative,strongly_positive,0.9014456,El envío muy rápido 👍🏼. Perfecto 👍🏼
3,neutral,strongly_negative,0.9776698,One Star. Good product except made in China.
3,neutral,strongly_negative,0.9570601,Refunded Money Updated Review. They saw my bad review and refunded my money. Forget this piece of crap. When I first received it it worked. When I needed it a month and a half later it does not work. I have reloaded the ap and rebooted the camera with no results. It is impossible to contact the seller.
1,strongly_negative,strongly_positive,0.96428627,"Awesome VFL. Very bright, reaches roughly 5 miles. Im giving it one star just let the unhappy campers the message How to make battery last long time. Just give it 1/4 twist. This opens up the contacts. No more dead batteries. Its a 5 star item."
3,neutral,strongly_positive,0.94377464,Awesome. This is for my grand daughter and she will get a kick out of this
3,neutral,strongly_negative,0.980143,One Star. I don't like the packaging for the wipes at all. My wipes dry out so fast.
3,neutral,strongly_positive,0.9398728,Una gran bolsa con excelente isolacion. Bolsa efectiva duradera y segura Cosas a rehacer: Bolsillos laterales más altos/anchos Base más robusta y firme para evitar la bolsa de doble Mejor material en las agarraderas de hombros para evitar el roce con la piel
3,neutral,strongly_negative,0.94595814,"Removing latex paint. This did not work so waste of money, time, and effort! How about refund--90 days guarantee!"
3,neutral,strongly_negative,0.90263253,broken. I used this twice and it fell apart without even dropping but return window closed in only 30 days
5,strongly_positive,strongly_negative,0.9505426,This is a scam. This is a scam
4,positive,negative,0.9306041,DOA Returning-Replacement Works Fine.. Plugged it in and it was immediately on. Will not turn off. Switch works seems to be missed wired plug. Replacement works fine. Guess it was just a one off. Increasing my rating by two stars.
3,neutral,strongly_positive,0.97922575,Five Stars. Perfect fit. The gear is a hardened steal. Perfect fit on the 3/4 inch diameter shaft. Although not really for the application I needed. Will be returning.
1,strongly_negative,strongly_positive,0.90829724,"Great medical gloves. Easy to pull on, very durable and very comfortable. Work beautifully"
3,neutral,strongly_negative,0.92877245,"No website at all….. Does not work well at ALL. I got this because I have wanted a digital thermometer for so long. Because of covid, figured I could invest in one to scan visitors to my home. This thing ALWAYS reads a person at 97.5. No matter what. No matter who. I know my temp, as well as everyone else II checked, are normal 98.6, not 97.5. Then, tried to go to the QR code and exchange through the warranty, and guess what? I scan the QR code, no website to be found. Type in the actual address listed, nada. This is extremely upsetting that I am not able to reach out directly to the manufacturer. Sadly, no recourse for purchasing a defective item. If it is sold on this site, at least it should be checked that all information is correct and not leave us high and dry. Do not purchase this item."
3,neutral,strongly_positive,0.93475103,"They are much better than anything I could put together. For a time I thought I was going to have to build my own turntable but then I found the Copco 2555-0186 Non-Skid Cabinet Turntable, 18-Inch. They are much better than anything I could put together! I still have them (I bought 2), maybe someone in the family will use them someday. They are very sturdy!"
1,strongly_negative,neutral,0.9489182,"Caused my extruder motor to start clicking after about 15 min of printing.. I printed for about 15 min at normal speed and it caused my extruder motor to start clicking. I ordered 2 packs so total of 6 units but only received 5. So far X, Y, and Z all seem to be fine but the extruder started clicking and did not have any power for whatever reason. I checked the temp and surprisingly X and Y were much hotter than the extruder so not sure whats up with that. As of now, I cannot say that these made any positive difference just yet because i havent made any calibration tests. If i see better quality i will bump up to 3 stars but as of now, they are not good. Also no instructions so not sure which direction to plug them in and also not sure on wire pinout since there is no support for these. I am running MKS GEN L with A4988 drivers if that is helpful."
3,neutral,strongly_positive,0.9402086,"Perfect for my re-circulation system. I bought this for my off-Grid home. I was installing a cost effective re-circulation system for my Hot water so save waist water. I was not sure it was going to work with the pump I had chosen but yes, and it works fantastic. Perfect, I was able to put a system together for under $120, which in turn save over 50 gallons a weak on waiting for water to get hot."
3,neutral,strongly_negative,0.9047279,"Disposable face masks. Poor quality, straps break! What good is that, the first one out of the box broke! Then more did! Don’t buy."
3,neutral,strongly_positive,0.91524106,I would recommend this to anyone looking to buy. The locking feature is great! Awesome value for the price. Exactly as depicted in listing and was delivered on time.
3,neutral,strongly_positive,0.9069988,highly recommend. these are super cute and minimalistic. look cute on my bathroom counter and hold a good amount of product.
4,positive,strongly_negative,0.97365224,One Star. This wire stopped working within a month. My phone doesn't recognize that it's plugged in Update: after writing the above review I was sent a replacement cable free of charge and it's been working for a couple months now for my pixel2 xl no issues
2,negative,strongly_positive,0.95189875,"A real deal.... Fit my cabinet door hinges perfectly. And, a great value! These are very difficult to find in any local store...including HomeDepot and Lowe’s."
3,neutral,strongly_positive,0.90325075,Very Sturdy. I like these much better then the plain cardboard cake boxes. These are extremely sturdy.
3,neutral,strongly_negative,0.9099565,Do not buy from this seller. The colors are not as picture shows. The seller charges for return shipping. Even if you're Amazon prime member. It's not worth to prime membership and return shipping for items with incorrect descriptions.
2,negative,strongly_positive,0.9627537,"Best bubbles I have ever seen. I love the bubbles in the finish! How did you engineer bubble finish? And no matter the skill level or depth of the project. It’s 12:12 am on a Monday night And I stayed up finishing the same project a second time and I have not figured out how I got more bubbles the second time with a thinner coat. Thank goodness the tiny bubbles that won’t pop stayed in, I swear if it is smooth and blemish free in the morning I will burn the project in my driveway. This stuff is great! Took over a week to get here , it’s super cheap and is loaded with bubbles. What more can you ask for. Looks great on that $2500 table. Thank you very much"
2,negative,strongly_positive,0.9770231,Best Glue Ever. This glue does it all!!
3,neutral,strongly_positive,0.9011202,The best. Great job
2,negative,positive,0.92780584,Fine Y strainer. Does not have any check valve feature at all.. This is a Y strainer. There is no check valve at all. I contacted the seller but they have not updated the description. I would give this 4 stars if the description was correct.
3,neutral,strongly_negative,0.91891694,Don’t close even empty. Do not t close
5,strongly_positive,strongly_negative,0.94763756,"3M or nothing! Don’t buy the cheap Junk!. Just buy this, 3M brand or nothing. I wasted $20 on a Chinese wheel that is absolute trash."
1,strongly_negative,neutral,0.9264592,"5 star spray system, not hawaiian breeze scent. If this had been marketed as a new ""bland"" scent freshener, I would have given it 3 stars...as it eliminates mild odors. Unlike the previous generation can, the spray system is very good...no spurts or drips and a reduced volume of mist. I could discern no fragrance similarities between the new mist scent and the previous version. The odor of the previous version is strong and floral. Had this version been similarly strong and floral, 5 stars."
2,negative,positive,0.90086377,"change some parts for better ones: cord , hooks , bolts . I did adapters to mine to be more safe. I like it because got one job done but i don’t understand why so many 4 stars .. material look too cheap plus loose bolts ( very dangerous ..someone might get hurt ) cord get tangle a lot it’s a headache ."
2,negative,strongly_positive,0.9430181,"if you need a super cheap wrinkled bag. this is the bag to get! looks like its been folded in every direction possible, paper thin and by far the best cheap bag I've ever seen. With the durability of single ply toilet paper it should hold air perfectly. Enjoy Amazon at its finest with this purchase."
3,neutral,strongly_negative,0.90507966,Doesn’t work. Sent these back. Way too small tried hanging 5 pounds and it fell no way will it hold 25 pounds
3,neutral,strongly_negative,0.9242182,"This doesn’t work and the app no longer exists UPDATED. The company that sells this tells me they no longer are selling the defective device. The product was no good, but they seem intent on making up for it. The first one I sent back because it wouldn’t turn on. The secon one never did connect to iPhone. Now the app for iOS no longer exists. You should not buy this."
3,neutral,strongly_negative,0.90575564,Customer Service is Useless. Gifted this to my husband. After a week the lid started to chip. Contacted customer service and they said there was nothing that could be done.
3,neutral,strongly_negative,0.94308954,Don’t buy. Suck in size and quality
3,neutral,strongly_negative,0.926288,It doesn't fit the comedian kangaroo epump don't waste your money mine just sat there.. Don't know how to use it didn't come with directions or anything. I have a covidian kangaroo ePump and nobody can figure out how this thing would be able to attach. I don't think it's made for this pump. 🤷🏼‍♀️ Don't waste your money.
1,strongly_negative,neutral,0.9774833,"Too big!Three Stars. I thought the size would be nice to work with because they would be easier to see, but they are too bulky and they are too big to fit through the hole of my lobster clasps."
4,positive,strongly_negative,0.96904594,"DO NOT BUY! Leaked from heat break after 3 prints, ruined hotend. I would rate 0 stars if I could. Heat brake wasn’t tightened at the factory, and leaked filament all over, ruining the hotend and my cooling fan. Picture is after painstakingly removing most of the filament with a wire brush, but you can see the filament leaked from the heat brake. DO NOT BUY! EDIT: seller reached out and provided a replacement unit. Replacement unit has been working perfectly."
4,positive,strongly_negative,0.9221317,"Damaged, unfit for use. Arrived with many burn holes (blackened fabric around holes). Also dirty - gross brown and black stains on several gloves. Very unfit for medical or other protective use. Do not buy."
3,neutral,strongly_negative,0.94863933,The cable is only ~3 cm long. Useless!. Where am I supposed to install this? Inside the mainboard compartment? Please start including a 1 meter cable like other kits.
2,negative,strongly_positive,0.9403203,"Five Stars. Does the job. I got this to hold 2 dram bottles that I use to test blend essential oils. Update June 19,2015 Seems very delicate. After several months of use, it is just started to crack all over and, I haven't been rough at all with them. Since it is the only one I could find to hold my 2 dram bottles, I did order another but, I reinforced the trays down the full length with hot glue. We shall see."
4,positive,strongly_negative,0.9574906,"Pure trash. Pure trash, Creality should send me 3 rolls of filament for all the ruined prints."
4,positive,negative,0.9523266,"Can't transition even very small bumps with mop attactment. I've been running Neato vacs for a while, but they have gotten tiresome because of all the pre-cleaning I have to do. According to all the reviews and videos I had seen online, this should have solved my issues with better obstacle avoidance, etc. However, it can't traverse even the smallest of changes in floor surface with the mop attached. It gets hung up on area rugs, and even thresholds. I've attached a couple of photos of a place it is getting ""trapped"". As you can see, it is a very small transition from an area rug to wooden floor and the robot just can't handle it. The tech is very cool....When you do ""untrap"" it, the bot finds its position and resumes (much better than the Neato vacs which would just fail at that point). The features are neat, the app is great. That's why I'm giving it 2 stars instead of just one. If you have all hardwood, I'm sure this would be a really nice vac. But it needs to be able to step over a 1/8"" high rug transition without getting stuck. EDIT: I've added a star to this. Roborock support reached out to me about this review and was very eager to assist. Good support deserves credit for sure. They have asked about the fan it got stuck on and wanted pictures. Also, they suggest that I remove the mop as the robot can only do 4mm high carpet with the mop attached (I never saw that number anywhwere). They say it can do 20mm with the mop off, although I haven't yet tried it, and they suggest making no mop zones in the app. EDIT2: Support continued to reach out to make sure things were better. Things were much improved after my initial run. You do need to spend some quality time with the app to tweak the map, but once you do, it gets much better. I was hoping I would seamlessly transition between mop and vacuum, but that isn't going to be the case because of the aforementioned issue, so I'm capping it at 4 stars. I'm sure the new S7 MaxV Ultra Mark 2 (joking) will fix this."
